1,飲食
2,風景
3,自然・動物
4,宿・温泉
5,アウトドア
6,イベント
7,デート
8,テーマパーク
9,名所・旧跡
10,スポーツ
11,体験・見学
12,ドライブ・ツーリング
13,ショッピング
14,お土産
15,その他
